blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,longitude,latitude
107,TAMPINES ST 11,10,1983,Y,Y,N,N,N,N,TAP,115,0,0,65,49,0,1,0,0,0,0,0,0,103.948227,1.348377
107,TECK WHYE LANE,13,1988,Y,N,N,N,N,N,CCK,54,0,0,0,0,0,54,0,0,0,0,0,0,103.753623,1.378005
107,TOWNER RD,25,1982,Y,N,N,Y,N,N,KWN,295,0,0,140,155,0,0,0,0,0,0,0,0,103.860237,1.319478
107,WOODLANDS ST 13,4,1984,Y,N,N,N,N,N,WL,8,0,0,0,0,0,8,0,0,0,0,0,0,103.782241,1.437302
107,YISHUN RING RD,11,1981,Y,N,N,Y,N,N,YS,337,0,0,240,94,1,2,0,0,0,0,0,0,103.827538,1.43222
107A,BIDADARI PK DR,16,2021,Y,N,N,Y,N,N,TP,145,0,0,78,52,15,0,0,0,0,0,0,0,103.87238,1.334774
107A,CLEMENTI ST 12,1,1984,N,Y,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,103.77008,1.322126
107A,C'WEALTH CRES,1,2003,N,N,N,N,N,Y,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,103.815405,1.411574
107A,CANBERRA ST,15,2017,Y,N,N,Y,N,N,SB,139,0,0,41,98,0,0,0,0,0,0,0,0,103.832976,1.449879
107A,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,86,0,0,0,0,86,0,0,0,0,0,0,0,103.906861,1.397212
107A,JLN BT MERAH,1,2003,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61913,51.216228
107A,RIVERVALE WALK,1,1999,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,103.900134,1.383246
107B,BIDADARI PK DR,16,2021,Y,N,N,N,N,N,TP,78,0,0,0,30,48,0,0,0,0,0,0,0,103.872218,1.33436
107B,CANBERRA ST,15,2017,Y,N,N,N,N,N,SB,140,0,0,42,98,0,0,0,0,0,0,0,0,103.833418,1.449209
107B,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,27,58,0,0,0,0,0,0,0,103.907237,1.396879
107C,CANBERRA ST,15,2017,Y,N,N,N,N,N,SB,139,0,0,41,98,0,0,0,0,0,0,0,0,103.833783,1.448605
107C,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,27,58,0,0,0,0,0,0,0,103.907632,1.396632
107D,EDGEFIELD PLAINS,17,2001,Y,N,N,Y,N,N,PG,91,0,0,0,0,91,0,0,0,0,0,0,0,103.908093,1.396273
108,ALJUNIED CRES,12,1980,Y,N,N,Y,N,N,GL,152,0,0,128,22,2,0,0,0,0,0,0,0,103.885272,1.319111
108,ANG MO KIO AVE 4,12,1978,Y,Y,N,N,N,N,AMK,121,0,0,87,31,1,1,0,0,0,0,1,0,103.838129,1.370944
108,BEDOK RESERVOIR RD,12,1985,Y,Y,N,Y,N,N,BD,153,0,0,86,66,1,0,0,0,0,0,0,0,103.909462,1.33023
108,BEDOK NTH RD,12,1976,Y,N,N,Y,N,N,BD,154,0,0,132,22,0,0,0,0,0,0,0,0,103.936249,1.332729
108,BISHAN ST 12,4,1985,Y,N,N,N,N,N,BH,32,0,0,16,16,0,0,0,0,0,0,0,0,103.8474,1.346717
108,BT PURMEI RD,12,1984,Y,N,N,Y,N,N,BM,176,0,0,55,121,0,0,0,0,0,0,0,0,103.825974,1.273394
108,BT BATOK WEST AVE 6,8,1984,Y,N,N,Y,N,N,BB,88,0,0,0,88,0,0,0,0,0,0,0,0,106.151808,-6.116966
108,C'WEALTH CRES,10,1964,Y,N,N,N,N,N,QT,75,0,7,62,5,0,0,0,0,0,1,0,0,103.815405,1.411574
108,CANBERRA WALK,6,2017,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,103.832211,1.447788
108,CLEMENTI ST 11,1,1984,N,Y,N,N,N,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0,103.770258,1.322116
108,DEPOT RD,3,2004,N,Y,Y,N,N,N,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,103.810029,1.281182
108,GANGSA RD,10,1986,Y,N,N,Y,N,N,BP,90,0,0,54,36,0,0,0,0,0,0,0,0,103.767227,1.377597
108,HOUGANG AVE 1,4,1982,Y,Y,N,N,N,N,HG,70,0,0,66,4,0,0,0,0,0,0,0,0,103.889774,1.353046
